Name,Year,Team,BA,OBP,SLG,OPS,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,TB,GDP,HBP,SH,SF,IBB,RISP,PHBA
Lim Jae-chul,2000,Lotte Giants,0.136,0.25,0.203,0.453,40.0,,59.0,11.0,8.0,1.0,0.0,1.0,3.0,1.0,0.0,8.0,19.0,12.0,3.0,1.0,,,,,
Lim Jae-chul,1999,Lotte Giants,0.322,0.403,0.508,0.911,23.0,,59.0,6.0,19.0,4.0,2.0,1.0,9.0,4.0,1.0,5.0,12.0,30.0,1.0,3.0,,,,,
Jang Seung-hyun,2024,Doosan Bears,0.2,0.273,0.3,0.573,9.0,23.0,20.0,1.0,4.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,5.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Jang Seung-hyun,2023,Doosan Bears,0.158,0.235,0.23,0.465,76.0,158.0,139.0,11.0,22.0,1.0,0.0,3.0,9.0,1.0,0.0,6.0,36.0,32.0,2.0,8.0,5.0,0.0,0.0,0.111,0.0
Jang Seung-hyun,2022,Doosan Bears,0.208,0.274,0.24,0.514,60.0,109.0,96.0,6.0,20.0,3.0,0.0,0.0,9.0,0.0,0.0,5.0,27.0,23.0,2.0,4.0,3.0,1.0,0.0,0.241,0.0
Jang Seung-hyun,2021,Doosan Bears,0.232,0.332,0.322,0.654,92.0,211.0,177.0,18.0,41.0,10.0,0.0,2.0,27.0,0.0,0.0,19.0,50.0,57.0,2.0,8.0,6.0,1.0,0.0,0.365,0.0
Jang Seung-hyun,2020,Doosan Bears,0.25,0.318,0.4,0.718,23.0,22.0,20.0,5.0,5.0,3.0,0.0,0.0,3.0,0.0,0.0,1.0,6.0,8.0,2.0,1.0,0.0,0.0,0.0,0.286,0.0
Jang Seung-hyun,2019,Doosan Bears,0.171,0.239,0.22,0.459,35.0,46.0,41.0,3.0,7.0,2.0,0.0,0.0,3.0,0.0,0.0,3.0,13.0,9.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Jang Seung-hyun,2018,Doosan Bears,0.385,0.429,0.385,0.814,20.0,16.0,13.0,2.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,5.0,2.0,0.0,2.0,0.0,0.0,0.333,1.0
Jung Soo-bin,2024,Doosan Bears,0.284,0.376,0.361,0.737,136.0,608.0,510.0,95.0,145.0,21.0,3.0,4.0,47.0,52.0,13.0,71.0,72.0,184.0,8.0,9.0,10.0,8.0,1.0,0.248,0.0
Jung Soo-bin,2023,Doosan Bears,0.287,0.375,0.371,0.746,137.0,583.0,498.0,75.0,143.0,14.0,11.0,2.0,33.0,39.0,8.0,64.0,63.0,185.0,2.0,7.0,12.0,2.0,1.0,0.253,0.5
Jung Soo-bin,2022,Doosan Bears,0.259,0.323,0.331,0.654,127.0,455.0,405.0,58.0,105.0,12.0,4.0,3.0,41.0,15.0,8.0,39.0,56.0,134.0,2.0,1.0,6.0,4.0,1.0,0.237,0.0
Jung Soo-bin,2021,Doosan Bears,0.259,0.326,0.374,0.7,104.0,351.0,313.0,50.0,81.0,19.0,4.0,3.0,37.0,12.0,7.0,29.0,50.0,117.0,7.0,3.0,4.0,2.0,1.0,0.301,0.25
Jung Soo-bin,2020,Doosan Bears,0.298,0.368,0.396,0.764,141.0,559.0,490.0,84.0,146.0,17.0,8.0,5.0,59.0,15.0,6.0,55.0,56.0,194.0,10.0,2.0,7.0,5.0,3.0,0.265,1.0
Jung Soo-bin,2019,Doosan Bears,0.265,0.354,0.331,0.685,123.0,513.0,441.0,75.0,117.0,19.0,5.0,0.0,41.0,26.0,8.0,57.0,60.0,146.0,6.0,6.0,4.0,5.0,0.0,0.245,0.5
Jung Soo-bin,2018,Doosan Bears,0.367,0.429,0.469,0.898,26.0,112.0,98.0,20.0,36.0,2.0,1.0,2.0,23.0,5.0,2.0,11.0,13.0,46.0,1.0,1.0,0.0,2.0,0.0,0.556,0.0
